StudyTime,PreviousTestScore,Pass,ParentEducation
5,90,1,4
10,95,1,4
2,60,2,2
8,85,2,1
1,50,0,3
7,80,2,4
4,75,2,4
9,88,2,1
3,65,2,4
6,70,2,1
5,92,1,3
10,98,1,0
2,61,2,3
8,86,2,0
1,49,0,1
7,81,2,0
4,74,2,2
9,89,2,3
3,66,2,1
6,71,2,3
5,93,1,3
10,99,1,0
2,62,2,1
8,87,2,2
1,48,0,2
7,82,2,1
4,73,2,4
9,90,1,3
3,67,2,2
6,72,2,1
5,94,1,4
10,100,1,1
2,63,2,3
8,88,2,0
1,47,0,3
7,83,2,4
4,72,2,4
9,91,1,3
3,68,2,1
6,73,2,2
5,95,1,3
10,96,1,2
2,64,2,2
8,89,2,4
1,46,0,2
7,84,2,3
4,71,2,4
9,92,1,1
3,69,2,0
6,74,2,1
5,96,1,2
10,97,1,0
2,65,2,3
8,90,1,0
1,45,0,0
7,85,2,0
4,70,2,3
9,93,1,4
3,70,2,2
6,75,2,2
5,97,1,1
10,98,1,3
2,66,2,4
8,91,1,2
1,44,0,1
7,86,2,3
4,69,2,1
9,94,1,2
3,71,2,3
6,76,2,1
5,98,1,3
10,99,1,0
2,67,2,3
8,92,1,3
1,43,0,3
7,87,2,1
4,68,2,4
9,95,1,2
3,72,2,3
6,77,2,4
5,99,1,1
10,100,1,3
2,68,2,0
8,93,1,1
1,42,0,0
7,88,2,0
4,67,2,0
9,96,1,2
3,73,2,3
6,78,2,1
5,100,1,4
10,99,1,2
2,69,2,2
8,94,1,0
1,41,0,0
7,89,2,2
4,66,2,2
9,97,1,3
3,74,2,4
6,79,2,3
5,95,1,1
10,98,1,3
2,70,2,0
8,95,1,0
1,40,0,3
7,90,1,4
4,65,2,3
9,96,1,1
3,75,2,4
6,80,2,4
5,94,1,1
10,97,1,2
2,71,2,1
8,94,1,3
1,39,0,2
7,91,1,4
4,64,2,3
9,95,1,1
3,76,2,0
6,81,2,0
5,93,1,2
10,96,1,1
2,72,2,2
8,93,1,0
1,38,0,1
7,92,1,0
4,63,2,1
9,94,1,4
3,77,2,2
6,82,2,2
5,92,1,0
10,95,1,0
2,73,2,2
8,92,1,3
1,37,0,3
7,93,1,3
4,62,2,2
9,93,1,2
3,78,2,2
6,83,2,0
5,91,1,3
10,94,1,3
2,74,2,2
8,91,1,4
1,36,0,2
7,94,1,1
4,61,2,2
9,92,1,2
3,79,2,3
6,84,2,2
5,90,1,0
10,93,1,0
2,75,2,2
8,90,1,4
1,35,0,0
7,95,1,2
4,60,2,2
9,91,1,3
3,80,2,4
6,85,2,3
